Date,Open,High,Low,Close,Adj Close,Volume
2010-01-21,108.480003,108.779999,106.610001,107.370003,107.370003,25748400
2010-01-22,106.930000,107.680000,106.010002,107.169998,107.169998,24210100
2010-01-25,107.440002,107.720001,107.070000,107.480003,107.480003,13200500
2010-01-26,106.870003,107.989998,106.750000,107.559998,107.559998,12297100
2010-01-27,107.529999,108.800003,106.160004,106.529999,106.529999,19005100
2010-01-28,107.180000,107.230003,105.180000,106.480003,106.480003,16793900
2010-01-29,105.879997,106.300003,105.269997,105.959999,105.959999,20278800
2010-02-01,106.639999,108.480003,106.370003,108.349998,108.349998,14901900
2010-02-02,109.160004,109.599998,108.610001,109.129997,109.129997,14292200
2010-02-03,109.099998,109.540001,108.430000,108.699997,108.699997,13393200
