Date,Open,High,Low,Close,Adj Close,Volume
2017-08-03,144.429993,145.339996,144.429993,144.940002,143.424637,3035400
2017-08-04,145.000000,145.389999,144.399994,145.160004,143.642334,2549400
2017-08-07,145.000000,145.089996,142.750000,143.470001,141.970001,4618300
2017-08-08,142.000000,142.759995,142.000000,142.110001,142.110001,3298700
2017-08-09,141.750000,142.029999,141.190002,141.770004,141.770004,2925800
2017-08-10,141.639999,142.419998,141.229996,141.839996,141.839996,4525400
2017-08-11,142.449997,142.589996,141.520004,141.839996,141.839996,3004000
2017-08-14,142.000000,142.759995,141.940002,142.320007,142.320007,2222300
2017-08-15,142.550003,143.339996,140.580002,142.070007,142.070007,4681500
2017-08-16,141.789993,142.910004,141.610001,142.500000,142.500000,3287800
2017-08-17,142.520004,142.889999,140.699997,140.699997,140.699997,4422100
2017-08-18,140.869995,141.149994,139.580002,139.699997,139.699997,4152700
2017-08-21,139.589996,140.419998,139.130005,140.330002,140.330002,3190700
2017-08-22,140.639999,141.149994,140.380005,141.009995,141.009995,2544400
2017-08-23,140.699997,143.050003,140.679993,142.139999,142.139999,4048300
2017-08-24,142.500000,143.679993,142.250000,142.940002,142.940002,3592200
2017-08-25,143.300003,144.190002,143.250000,143.740005,143.740005,2872900
2017-08-28,144.110001,144.559998,142.389999,142.509995,142.509995,5134500
2017-08-29,142.100006,143.429993,141.899994,143.139999,143.139999,3009500
2017-08-30,143.259995,143.279999,142.410004,142.559998,142.559998,2736000
2017-08-31,143.020004,143.660004,142.630005,143.029999,143.029999,3656400
2017-09-01,142.979996,144.500000,142.979996,144.080002,144.080002,3348500
