Date,Open,High,Low,Close,Adj Close,Volume
2010-01-21,113.919998,114.269997,111.559998,111.699997,95.914955,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,93.776840,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,94.257668,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,93.862694,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,94.309235,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,93.227295,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,92.214027,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,93.648033,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,94.781494,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,94.309235,172730700
