Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,31.760000,31.799999,29.990000,30.250000,29.877291,6385800
2017-08-02,30.129999,30.250000,29.719999,30.030001,29.660002,5740600
2017-08-03,29.580000,30.070000,29.450001,30.030001,30.030001,2967200
2017-08-04,29.910000,30.000000,29.620001,29.850000,29.850000,2142900
2017-08-07,29.820000,29.900000,29.430000,29.559999,29.559999,3501000
2017-08-08,29.410000,29.629999,29.250000,29.610001,29.610001,4181100
2017-08-09,29.670000,29.770000,29.370001,29.379999,29.379999,2902000
2017-08-10,29.330000,29.500000,29.150000,29.190001,29.190001,2368400
2017-08-11,29.170000,29.290001,28.930000,29.270000,29.270000,3230800
2017-08-14,29.360001,29.870001,29.290001,29.799999,29.799999,2749600
2017-08-15,29.670000,29.670000,29.000000,29.150000,29.150000,4051100
2017-08-16,29.219999,29.459999,29.219999,29.340000,29.340000,3256600
2017-08-17,29.350000,29.420000,29.180000,29.200001,29.200001,2796300
2017-08-18,29.240000,29.250000,28.809999,28.850000,28.850000,2694200
2017-08-21,28.900000,29.469999,28.790001,29.379999,29.379999,2386800
2017-08-22,29.400000,29.440001,28.770000,28.950001,28.950001,3134900
2017-08-23,29.030001,29.490000,28.900000,29.459999,29.459999,2316900
2017-08-24,29.469999,29.700001,29.330000,29.410000,29.410000,3109600
2017-08-25,29.530001,29.700001,29.400000,29.540001,29.540001,2389100
2017-08-28,29.559999,29.590000,29.180000,29.280001,29.280001,1639800
2017-08-29,29.360001,29.610001,29.299999,29.510000,29.510000,3439600
2017-08-30,29.459999,29.590000,29.280001,29.540001,29.540001,2782100
2017-08-31,29.590000,29.879999,29.580000,29.809999,29.809999,3018900
